freq	dB(S(2,1))
1.39342000000000010E9	-3.16020200912927640E1
1.39392000000000000E9	-3.15448821880424600E1
1.39442000000000000E9	-3.14875891393567240E1
1.39492000000000020E9	-3.14301400222879670E1
1.39542000000000010E9	-3.13725339056531060E1
1.39592000000000000E9	-3.13147698499379160E1
1.39642000000000000E9	-3.12568469072003550E1
1.39692000000000020E9	-3.11987641209720450E1
1.39742000000000010E9	-3.11405205261588860E1
1.39792000000000010E9	-3.10821151489398730E1
1.39842000000000020E9	-3.10235470066646800E1
1.39891999999999990E9	-3.09648151077497150E1
1.39942000000000010E9	-3.09059184515727030E1
1.39992000000000030E9	-3.08468560283659030E1
1.40042000000000000E9	-3.07876268191074760E1
1.40092000000000020E9	-3.07282297954117520E1
1.40141999999999990E9	-3.06686639194174800E1
1.40192000000000010E9	-3.06089281436748540E1
1.40242000000000020E9	-3.05490214110306630E1
1.40291999999999990E9	-3.04889426545118390E1
1.40342000000000010E9	-3.04286907972076250E1
1.40391999999999980E9	-3.03682647521493140E1
1.40442000000000000E9	-3.03076634221891440E1
1.40492000000000020E9	-3.02468856998768620E1
1.40541999999999990E9	-3.01859304673347540E1
1.40592000000000010E9	-3.01247965961305160E1
1.40642000000000000E9	-3.00634829471487470E1
1.40691999999999990E9	-3.00019883704604240E1
1.40742000000000010E9	-2.99403117051901590E1
1.40792000000000010E9	-2.98784517793818780E1
1.40842000000000000E9	-2.98164074098624090E1
1.40892000000000000E9	-2.97541774021032520E1
1.40942000000000010E9	-2.96917605500798490E1
1.40992000000000010E9	-2.96291556361292590E1
1.41042000000000000E9	-2.95663614308056740E1
1.41092000000000020E9	-2.95033766927335250E1
1.41142000000000010E9	-2.94402001684587190E1
1.41192000000000010E9	-2.93768305922975560E1
1.41242000000000020E9	-2.93132666861834720E1
1.41292000000000020E9	-2.92495071595114190E1
1.41342000000000010E9	-2.91855507089800260E1
1.41391999999999980E9	-2.91213960184314890E1
1.41442000000000020E9	-2.90570417586888220E1
1.41492000000000020E9	-2.89924865873910780E1
1.41541999999999990E9	-2.89277291488257140E1
1.41592000000000030E9	-2.88627680737589330E1
1.41642000000000000E9	-2.87976019792629500E1
1.41692000000000000E9	-2.87322294685411620E1
1.41742000000000030E9	-2.86666491307505700E1
1.41792000000000010E9	-2.86008595408213440E1
1.41842000000000000E9	-2.85348592592740150E1
1.41892000000000000E9	-2.84686468320337480E1
1.41942000000000010E9	-2.84022207902419630E1
1.41992000000000010E9	-2.83355796500649810E1
