freq	dB(S(2,1))
1.48882000000000000E9	-1.79663092650618950E1
1.48891999999999980E9	-1.79472488378151550E1
1.48901999999999980E9	-1.79281719106203450E1
1.48912000000000020E9	-1.79090784594499610E1
1.48922000000000000E9	-1.78899684605162080E1
1.48932000000000020E9	-1.78708418898704260E1
1.48942000000000020E9	-1.78516987235899900E1
1.48952000000000000E9	-1.78325389377686320E1
1.48962000000000020E9	-1.78133625085137770E1
1.48972000000000020E9	-1.77941694117729070E1
1.48982000000000040E9	-1.77749596237661400E1
1.48992000000000010E9	-1.77557331204061410E1
1.49002000000000010E9	-1.77364898776641900E1
1.49011999999999990E9	-1.77172298717347990E1
1.49021999999999990E9	-1.76979530784369610E1
1.49032000000000010E9	-1.76786594739023120E1
1.49041999999999990E9	-1.76593490341172950E1
1.49051999999999980E9	-1.76400217349446510E1
1.49062000000000030E9	-1.76206775524883020E1
1.49072000000000000E9	-1.76013164627067380E1
1.49082000000000030E9	-1.75819384414505770E1
1.49092000000000020E9	-1.75625434647924860E1
1.49102000000000000E9	-1.75431315087019210E1
1.49112000000000020E9	-1.75237025489851030E1
1.49122000000000020E9	-1.75042565617797540E1
1.49132000000000000E9	-1.74847935229054620E1
1.49142000000000000E9	-1.74653134082924620E1
1.49152000000000000E9	-1.74458161939453270E1
1.49161999999999990E9	-1.74263018556505010E1
1.49171999999999990E9	-1.74067703695490230E1
1.49182000000000010E9	-1.73872217114329610E1
1.49191999999999990E9	-1.73676558572189840E1
1.49201999999999990E9	-1.73480727829171540E1
1.49212000000000030E9	-1.73284724643740300E1
1.49222000000000010E9	-1.73088548775856440E1
1.49232000000000030E9	-1.72892199984192230E1
1.49242000000000030E9	-1.72695678028677050E1
1.49252000000000010E9	-1.72498982667901270E1
1.49262000000000010E9	-1.72302113661182820E1
1.49271999999999980E9	-1.72105070769509010E1
1.49282000000000000E9	-1.71907853750688890E1
1.49292000000000000E9	-1.71710462364216390E1
1.49302000000000000E9	-1.71512896370371880E1
1.49312000000000000E9	-1.71315155528000540E1
1.49322000000000000E9	-1.71117239597416380E1
1.49332000000000020E9	-1.70919148337560680E1
1.49342000000000000E9	-1.70720881509063570E1
1.49352000000000000E9	-1.70522438870880970E1
1.49362000000000040E9	-1.70323820184614800E1
1.49372000000000020E9	-1.70125025208711840E1
1.49381999999999990E9	-1.69926053703202840E1
1.49391999999999990E9	-1.69726905429190530E1
1.49401999999999990E9	-1.69527580146296010E1
1.49412000000000010E9	-1.69328077615697240E1
1.49421999999999990E9	-1.69128397598040610E1
1.49432000000000010E9	-1.68928539853136560E1
1.49442000000000010E9	-1.68728504142731550E1
1.49452000000000010E9	-1.68528290227932540E1
1.49462000000000010E9	-1.68327897868892550E1
1.49472000000000000E9	-1.68127326827961410E1
1.49482000000000030E9	-1.67926576865623000E1
1.49492000000000000E9	-1.67725647744465660E1
1.49502000000000000E9	-1.67524539226355930E1
1.49512000000000000E9	-1.67323251072404310E1
1.49522000000000000E9	-1.67121783045705930E1
1.49532000000000000E9	-1.66920134908857290E1
1.49542000000000000E9	-1.66718306424421670E1
1.49552000000000000E9	-1.66516297354330110E1
1.49562000000000020E9	-1.66314107462532230E1
1.49571999999999990E9	-1.66111736512571960E1
1.49582000000000010E9	-1.65909184266914030E1
1.49592000000000010E9	-1.65706450490461640E1
1.49602000000000010E9	-1.65503534947172670E1
1.49612000000000010E9	-1.65300437401584400E1
1.49622000000000010E9	-1.65097157617214710E1
1.49632000000000010E9	-1.64893695360078920E1
1.49642000000000010E9	-1.64690050395372430E1
1.49651999999999990E9	-1.64486222488564990E1
1.49662000000000010E9	-1.64282211405620120E1
1.49672000000000010E9	-1.64078016911559970E1
1.49682000000000000E9	-1.63873638774034850E1
1.49692000000000000E9	-1.63669076759779200E1
1.49702000000000000E9	-1.63464330634942150E1
1.49712000000000020E9	-1.63259400169229110E1
1.49722000000000000E9	-1.63054285128382000E1
1.49732000000000020E9	-1.62848985281853520E1
1.49742000000000020E9	-1.62643500398188400E1
