freq	dB(S(2,1))
1.48762000000000020E9	-2.78672557528330380E1
1.48771999999999990E9	-2.78475488334690930E1
1.48782000000000010E9	-2.78278198625711190E1
1.48792000000000010E9	-2.78080687912162670E1
1.48801999999999990E9	-2.77882955703227720E1
1.48812000000000010E9	-2.77685001506493730E1
1.48822000000000010E9	-2.77486824827942380E1
1.48832000000000030E9	-2.77288425171949630E1
1.48842000000000010E9	-2.77089802041270340E1
1.48852000000000010E9	-2.76890954937040810E1
1.48862000000000030E9	-2.76691883358765000E1
1.48872000000000030E9	-2.76492586804308700E1
1.48882000000000000E9	-2.76293064769898630E1
1.48891999999999980E9	-2.76093316750106550E1
1.48901999999999980E9	-2.75893342237848800E1
1.48912000000000020E9	-2.75693140724376210E1
1.48922000000000000E9	-2.75492711699267860E1
1.48932000000000020E9	-2.75292054650426540E1
1.48942000000000020E9	-2.75091169064066410E1
1.48952000000000000E9	-2.74890054424710200E1
1.48962000000000020E9	-2.74688710215180350E1
1.48972000000000020E9	-2.74487135916592750E1
1.48982000000000040E9	-2.74285331008347950E1
1.48992000000000010E9	-2.74083294968125690E1
1.49002000000000010E9	-2.73881027271875820E1
1.49011999999999990E9	-2.73678527393812620E1
1.49021999999999990E9	-2.73475794806406290E1
1.49032000000000010E9	-2.73272828980376970E1
1.49041999999999990E9	-2.73069629384682870E1
1.49051999999999980E9	-2.72866195486520620E1
1.49062000000000030E9	-2.72662526751310750E1
1.49072000000000000E9	-2.72458622642692780E1
1.49082000000000030E9	-2.72254482622518660E1
1.49092000000000020E9	-2.72050106150842020E1
1.49102000000000000E9	-2.71845492685914140E1
1.49112000000000020E9	-2.71640641684173230E1
1.49122000000000020E9	-2.71435552600239750E1
1.49132000000000000E9	-2.71230224886904780E1
1.49142000000000000E9	-2.71024657995124980E1
1.49152000000000000E9	-2.70818851374015110E1
1.49161999999999990E9	-2.70612804470837750E1
1.49171999999999990E9	-2.70406516730995780E1
1.49182000000000010E9	-2.70199987598028590E1
1.49191999999999990E9	-2.69993216513597420E1
1.49201999999999990E9	-2.69786202917480720E1
1.49212000000000030E9	-2.69578946247568440E1
1.49222000000000010E9	-2.69371445939846940E1
1.49232000000000030E9	-2.69163701428400470E1
1.49242000000000030E9	-2.68955712145393950E1
1.49252000000000010E9	-2.68747477521069290E1
1.49262000000000010E9	-2.68538996983737200E1
1.49271999999999980E9	-2.68330269959765120E1
1.49282000000000000E9	-2.68121295873575650E1
1.49292000000000000E9	-2.67912074147628990E1
1.49302000000000000E9	-2.67702604202423710E1
1.49312000000000000E9	-2.67492885456482950E1
1.49322000000000000E9	-2.67282917326344100E1
1.49332000000000020E9	-2.67072699226556590E1
1.49342000000000000E9	-2.66862230569667780E1
1.49352000000000000E9	-2.66651510766214980E1
1.49362000000000040E9	-2.66440539224721550E1
1.49372000000000020E9	-2.66229315351680510E1
1.49381999999999990E9	-2.66017838551550720E1
1.49391999999999990E9	-2.65806108226748710E1
1.49401999999999990E9	-2.65594123777634030E1
