freq	dB(S(2,1))
1.48452000000000010E9	-3.20008374257678210E1
1.48462000000000010E9	-3.19812461540300940E1
1.48472000000000000E9	-3.19616339356749850E1
1.48482000000000030E9	-3.19420007249381350E1
1.48492000000000020E9	-3.19223464759056830E1
1.48502000000000000E9	-3.19026711425140030E1
1.48512000000000000E9	-3.18829746785490320E1
1.48522000000000000E9	-3.18632570376453120E1
1.48532000000000020E9	-3.18435181732859360E1
1.48542000000000000E9	-3.18237580388012060E1
1.48552000000000000E9	-3.18039765873684300E1
1.48562000000000020E9	-3.17841737720110950E1
1.48572000000000020E9	-3.17643495455982090E1
1.48582000000000010E9	-3.17445038608436690E1
1.48592000000000010E9	-3.17246366703055880E1
1.48602000000000010E9	-3.17047479263855840E1
1.48612000000000010E9	-3.16848375813279980E1
1.48622000000000010E9	-3.16649055872195580E1
1.48632000000000010E9	-3.16449518959882200E1
1.48642000000000010E9	-3.16249764594028850E1
1.48651999999999980E9	-3.16049792290723760E1
1.48662000000000010E9	-3.15849601564450480E1
1.48672000000000000E9	-3.15649191928077500E1
1.48682000000000030E9	-3.15448562892854940E1
1.48692000000000000E9	-3.15247713968403650E1
1.48702000000000000E9	-3.15046644662710620E1
1.48712000000000020E9	-3.14845354482121700E1
1.48722000000000020E9	-3.14643842931333230E1
1.48732000000000020E9	-3.14442109513384920E1
1.48742000000000020E9	-3.14240153729652150E1
1.48752000000000020E9	-3.14037975079841840E1
1.48762000000000020E9	-3.13835573061979560E1
1.48771999999999990E9	-3.13632947172407840E1
1.48782000000000010E9	-3.13430096905773810E1
1.48792000000000010E9	-3.13227021755025880E1
1.48801999999999990E9	-3.13023721211402290E1
1.48812000000000010E9	-3.12820194764427040E1
1.48822000000000010E9	-3.12616441901899570E1
1.48832000000000030E9	-3.12412462109888760E1
1.48842000000000010E9	-3.12208254872724340E1
1.48852000000000010E9	-3.12003819672989650E1
1.48862000000000030E9	-3.11799155991513910E1
1.48872000000000030E9	-3.11594263307362420E1
1.48882000000000000E9	-3.11389141097833470E1
1.48891999999999980E9	-3.11183788838444860E1
1.48901999999999980E9	-3.10978206002928910E1
1.48912000000000020E9	-3.10772392063224160E1
1.48922000000000000E9	-3.10566346489467240E1
1.48932000000000020E9	-3.10360068749984030E1
1.48942000000000020E9	-3.10153558311282620E1
1.48952000000000000E9	-3.09946814638044320E1
1.48962000000000020E9	-3.09739837193115930E1
1.48972000000000020E9	-3.09532625437501220E1
1.48982000000000040E9	-3.09325178830351530E1
1.48992000000000010E9	-3.09117496828961170E1
1.49002000000000010E9	-3.08909578888752550E1
1.49011999999999990E9	-3.08701424463275350E1
1.49021999999999990E9	-3.08493033004190710E1
1.49032000000000010E9	-3.08284403961268930E1
1.49041999999999990E9	-3.08075536782375890E1
1.49051999999999980E9	-3.07866430913467680E1
1.49062000000000030E9	-3.07657085798580750E1
1.49072000000000000E9	-3.07447500879822930E1
1.49082000000000030E9	-3.07237675597364660E1
1.49092000000000020E9	-3.07027609389430540E1
1.49102000000000000E9	-3.06817301692290290E1
1.49112000000000020E9	-3.06606751940249290E1
1.49122000000000020E9	-3.06395959565640560E1
1.49132000000000000E9	-3.06184923998815160E1
1.49142000000000000E9	-3.05973644668132880E1
1.49152000000000000E9	-3.05762120999953080E1
1.49161999999999990E9	-3.05550352418626760E1
1.49171999999999990E9	-3.05338338346484940E1
1.49182000000000010E9	-3.05126078203831640E1
1.49191999999999990E9	-3.04913571408932960E1
1.49201999999999990E9	-3.04700817378008710E1
1.49212000000000030E9	-3.04487815525222330E1
1.49222000000000010E9	-3.04274565262671000E1
1.49232000000000030E9	-3.04061066000378630E1
1.49242000000000030E9	-3.03847317146281840E1
1.49252000000000010E9	-3.03633318106223850E1
1.49262000000000010E9	-3.03419068283942780E1
1.49271999999999980E9	-3.03204567081064050E1
1.49282000000000000E9	-3.02989813897087190E1
1.49292000000000000E9	-3.02774808129380000E1
1.49302000000000000E9	-3.02559549173164430E1
1.49312000000000000E9	-3.02344036421510150E1
1.49322000000000000E9	-3.02128269265322120E1
1.49332000000000020E9	-3.01912247093331220E1
1.49342000000000000E9	-3.01695969292084780E1
1.49352000000000000E9	-3.01479435245934150E1
1.49362000000000040E9	-3.01262644337028050E1
1.49372000000000020E9	-3.01045595945298320E1
1.49381999999999990E9	-3.00828289448451840E1
1.49391999999999990E9	-3.00610724221959420E1
1.49401999999999990E9	-3.00392899639044850E1
1.49412000000000010E9	-3.00174815070675780E1
1.49421999999999990E9	-2.99956469885551690E1
1.49432000000000010E9	-2.99737863450091830E1
1.49442000000000010E9	-2.99518995128428770E1
1.49452000000000010E9	-2.99299864282391990E1
1.49462000000000010E9	-2.99080470271502330E1
1.49472000000000000E9	-2.98860812452956640E1
1.49482000000000030E9	-2.98640890181619630E1
1.49492000000000000E9	-2.98420702810011470E1
1.49502000000000000E9	-2.98200249688296950E1
1.49512000000000000E9	-2.97979530164274120E1
1.49522000000000000E9	-2.97758543583362730E1
1.49532000000000000E9	-2.97537289288593950E1
1.49542000000000000E9	-2.97315766620597310E1
1.49552000000000000E9	-2.97093974917591020E1
1.49562000000000020E9	-2.96871913515368700E1
1.49571999999999990E9	-2.96649581747288330E1
1.49582000000000010E9	-2.96426978944262040E1
1.49592000000000010E9	-2.96204104434741830E1
1.49602000000000010E9	-2.95980957544709300E1
1.49612000000000010E9	-2.95757537597663320E1
1.49622000000000010E9	-2.95533843914608240E1
1.49632000000000010E9	-2.95309875814041560E1
1.49642000000000010E9	-2.95085632611942290E1
1.49651999999999990E9	-2.94861113621758180E1
